time,open,high,low,close,Volume
1757430480,647.88,648.12,647.88,648.1,11924
1757430540,648.08,648.35,648.08,648.25,16983
1757430600,648.26,648.32,648.1,648.25,6223
1757430660,648.23,648.25,648.13,648.13,5554
1757430720,648.17,648.415,648.14,648.39,13158
1757430780,648.38,648.39,648.28,648.37,10949
1757430840,648.38,648.45,648.33,648.38,21236
1757430900,648.38,648.55,648.38,648.54,23075
1757430960,648.51,648.51,648.4,648.4,18111
1757431020,648.41,648.5,648.36,648.4,26894
1757431080,648.43,648.58,648.4,648.58,9139
1757431140,648.56,648.6,648.42,648.46,17836
1757431200,648.46,648.59,648.45,648.5,12776
1757431260,648.5,648.61,648.42,648.57,24887
1757431320,648.55,648.58,648.46,648.54,26368
1757431380,648.54,648.61,648.43,648.46,12479
1757431440,648.46,648.5,648.38,648.46,15165
1757431500,648.48,648.68,648.48,648.66,31380
1757431560,648.66,648.82,648.66,648.7,67399
1757431620,648.7,648.76,648.64,648.73,20615
1757431680,648.72,648.78,648.64,648.74,27799
1757431740,648.72,648.83,648.7,648.78,12340
1757431800,648.76,648.83,648.66,648.68,23761
1757431860,648.68,648.75,648.67,648.7,13665
1757431920,648.7,648.72,648.545,648.69,19782
1757431980,648.69,648.76,648.6,648.65,20395
1757432040,648.66,648.7,648.57,648.61,9390
1757432100,648.63,648.68,648.58,648.61,10243
1757432160,648.59,648.76,648.56,648.75,13997
1757432220,648.75,648.77,648.52,648.55,11567
1757432280,648.56,648.65,648.519,648.52,11748
1757432340,648.52,648.57,648.47,648.5,16324
1757432400,648.5,648.525,648.19,648.2,49382
1757432460,648.219,648.32,648.09,648.19,16280
1757432520,648.22,648.22,648.05,648.099,15528
1757432580,648.1,648.26,648.08,648.16,12583
1757432640,648.15,648.19,648.07,648.1,14815
1757432700,648.13,648.26,648.09,648.15,30976
1757432760,648.15,648.33,648.11,648.29,14956
1757432820,648.28,648.33,648.21,648.22,15396
1757432880,648.24,648.31,648.12,648.13,11760
1757432940,648.165,648.18,648.04,648.06,11104
1757433000,648.07,648.29,648.07,648.26,10296
1757433060,648.26,648.4,648.24,648.39,26314
1757433120,648.38,648.52,648.28,648.49,11920
1757433180,648.48,648.6,648.45,648.57,19431
1757433240,648.54,648.8,648.52,648.76,40276
1757433300,648.75,648.81,648.66,648.75,20584
1757433360,648.75,648.75,648.55,648.6,21890
1757433420,648.6,648.61,648.31,648.35,15605
1757433480,648.36,648.37,648.22,648.36,17659
1757433540,648.35,648.4,648.27,648.27,14501
1757433600,648.26,648.37,648.23,648.25,39030
1757433660,648.26,648.345,648.16,648.26,17847
1757433720,648.25,648.32,648.19,648.25,14821
1757433780,648.24,648.4,648.24,648.37,17490
1757433840,648.37,648.49,648.32,648.46,14199
1757433900,648.45,648.47,648.3,648.3,22263
1757433960,648.3,648.48,648.3,648.37,18124
1757434020,648.36,648.45,648.3,648.42,11233
1757434080,648.44,648.61,648.41,648.61,20410
1757434140,648.6,648.68,648.57,648.65,13671
1757434200,648.65,648.89,648.65,648.84,17451
1757434260,648.85,648.85,648.73,648.8,31623
1757434320,648.79,648.87,648.71,648.73,19903
1757434380,648.73,648.81,648.71,648.76,20018
1757434440,648.76,648.82,648.73,648.81,10897
1757434500,648.82,648.94,648.79,648.925,14947
1757434560,648.925,648.99,648.91,648.95,21905
1757434620,648.95,649,648.91,648.97,21511
1757434680,648.96,649.06,648.89,648.93,28873
1757434740,648.93,648.94,648.665,648.69,17871
1757434800,648.7,648.72,648.53,648.54,22978
1757434860,648.55,648.63,648.46,648.51,13936
1757434920,648.52,648.53,648.34,648.36,29371
1757434980,648.36,648.53,648.3,648.53,17912
1757435040,648.52,648.69,648.49,648.67,8349
1757435100,648.64,648.87,648.63,648.849,19907
1757435160,648.84,648.94,648.83,648.89,16252
1757435220,648.89,648.92,648.83,648.87,21823
1757435280,648.87,648.93,648.85,648.91,13871
1757435340,648.91,648.93,648.82,648.85,14699
1757435400,648.85,648.86,648.77,648.82,11471
1757435460,648.82,648.955,648.81,648.89,14766
1757435520,648.89,648.96,648.83,648.94,11595
1757435580,648.93,648.93,648.81,648.84,5414
1757435640,648.835,648.96,648.79,648.94,7981
1757435700,648.93,648.96,648.87,648.92,5025
1757435760,648.92,648.95,648.84,648.93,7874
1757435820,648.925,649.01,648.91,648.96,10172
1757435880,648.955,649.01,648.94,648.96,12982
1757435940,648.95,649.01,648.92,648.99,18697
1757436000,648.99,649.08,648.98,649.03,29735
