datetime,high,low,close,Volume
2025-09-08 15:32:00,647.93,647.74,647.859,15313
2025-09-08 15:33:00,647.87,647.59,647.59,7279
2025-09-08 15:34:00,647.62,647.46,647.46,28961
2025-09-08 15:35:00,647.645,647.48,647.63,14207
2025-09-08 15:36:00,647.77,647.63,647.77,11701
2025-09-08 15:37:00,647.81,647.72,647.76,19897
2025-09-08 15:38:00,647.83,647.77,647.82,10197
2025-09-08 15:39:00,647.93,647.82,647.87,4963
2025-09-08 15:40:00,647.97,647.83,647.94,13201
2025-09-08 15:41:00,648.08,647.92,647.94,13681
2025-09-08 15:42:00,648.08,647.97,648.07,26492
2025-09-08 15:43:00,648.245,648.05,648.23,22501
2025-09-08 15:44:00,648.25,648.11,648.14,19152
2025-09-08 15:45:00,648.37,648.14,648.37,21411
2025-09-08 15:46:00,648.44,648.26,648.43,31378
2025-09-08 15:47:00,648.56,648.4,648.48,40082
2025-09-08 15:48:00,648.48,648.36,648.44,30342
2025-09-08 15:49:00,648.52,648.43,648.5,46567
2025-09-08 15:50:00,648.52,648.03,648.14,99085
2025-09-08 15:51:00,648.3,648.08,648.21,79648
2025-09-08 15:52:00,648.41,648.17,648.38,57608
2025-09-08 15:53:00,648.49,648.31,648.48,110385
2025-09-08 15:54:00,648.53,648.3,648.45,55777
2025-09-08 15:55:00,648.66,648.32,648.64,80203
2025-09-08 15:56:00,648.72,648.56,648.58,53848
2025-09-08 15:57:00,648.7,648.46,648.66,147118
2025-09-08 15:58:00,648.66,648.31,648.4,195838
2025-09-08 15:59:00,648.88,648.4,648.78,1031124
2025-09-09 09:30:00,649.19,648.8,648.8,87757
2025-09-09 09:31:00,649.31,648.76,649.28,31814
2025-09-09 09:32:00,649.36,649.0,649.26,37873
2025-09-09 09:33:00,649.34,649.12,649.24,24278
2025-09-09 09:34:00,649.31,649.12,649.17,30995
2025-09-09 09:35:00,649.28,649.06,649.21,21358
2025-09-09 09:36:00,649.34,649.11,649.22,14937
2025-09-09 09:37:00,649.45,649.16,649.39,17801
2025-09-09 09:38:00,649.49,649.29,649.38,16478
2025-09-09 09:39:00,649.45,649.17,649.19,23287
2025-09-09 09:40:00,649.27,649.06,649.08,28268
2025-09-09 09:41:00,649.12,648.89,649.08,23148
